EmployeeID,EmployeeName,Salary,HireDate,PrevSalary,NextSalary
24,"Xavier Wright",74000.00,2015-02-28,NULL,64000.00
8,"Hannah Lee",64000.00,2015-05-20,74000.00,80000.00
17,"Quinn Parker",80000.00,2015-07-18,64000.00,85000.00
2,"Bob Smith",85000.00,2016-09-23,80000.00,75000.00
9,"Isaac Green",75000.00,2016-10-05,85000.00,78000.00
25,"Yasmine Thomas",78000.00,2016-11-07,75000.00,78000.00
26,"Jasmine Mendez",78000.00,2016-11-07,78000.00,73000.00
16,"Patrick King",73000.00,2016-12-09,78000.00,73000.00
21,"Umar Khan",73000.00,2017-03-10,73000.00,69000.00
13,"Mia Robinson",69000.00,2017-04-22,73000.00,85000.00
18,"Rachel Evans",85000.00,2017-05-25,69000.00,60000.00
5,"Eve Adams",60000.00,2017-11-30,85000.00,70000.00
1,"Alice Johnson",70000.00,2018-05-10,60000.00,61000.00
22,"Vera Lewis",61000.00,2018-06-12,70000.00,71000.00
14,"Nathan Scott",71000.00,2018-08-30,61000.00,72000.00
10,"Jack Black",72000.00,2018-12-01,71000.00,68000.00
12,"Liam Harris",68000.00,2019-02-10,72000.00,78000.00
3,"Charlie Brown",78000.00,2019-03-15,68000.00,62000.00
6,"Frank White",62000.00,2019-08-14,78000.00,77000.00
19,"Samuel Young",77000.00,2019-09-30,62000.00,77000.00
11,"Karen Davis",77000.00,2020-06-19,77000.00,65000.00
4,"David Wilson",65000.00,2020-07-11,77000.00,67000.00
15,"Olivia Turner",67000.00,2020-10-15,65000.00,82000.00
20,"Tina Baker",82000.00,2020-11-20,67000.00,58000.00
7,"Grace Hall",58000.00,2021-01-25,82000.00,79000.00
23,"William Carter",79000.00,2021-09-14,58000.00,NULL
